Project URL,City,State/Province,Country,City Organizer(s),Collaborating Organizations//
www.inaturalist.org/projects/city-nature-challenge-2018-bristol-bath,Bristol & Bath City Region,Somerset / Gloucestershire,United Kingdom,Bristol Natural History Consortium,Bristol Natural History Consortium is a collaboration between Avon Wildlife Trust; Bath and Northeast Somerset Council; BBC Natural History Unit; Bristol City Council; Bristol Zoo Gardens; Defra; National Trust; Natural England; University of Bath; University of Bristol; University of the West of England; Wildfowl and Wetlands Trust and Woodland Trust//
www.inaturalist.org/projects/city-nature-challenge-2018-buenos-aires-y-alrededores,Buenos Aires,Buenos Aires,Argentina,"Museo Argentino de Ciencias Naturales "Bernardino Rivadavia"""useo Argentino de Cie",//
http://natusfera.gbif.es/projects/cnc-2018-cadiz,Cádiz,Andalusia,Spain,Sociedad Gaditana de Historia Natural,//
www.inaturalist.org/projects/city-nature-challenge-2018-campo-grande,Campo Grande,Mato Grosso do Sul,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-charlottesville,Charlottesville,Virginia,United States of America,The Nature Conservancy,//
www.inaturalist.org/projects/city-nature-challenge-2018-chicago-wilderness-region,Chicago Wilderness Region,Illinois,United States of America,Habitat 2030,Shedd Aquarium; Chicago Ornithological Society; Chicago Academy of Sciences / Peggy Notebaert Nature Museum; Student Conservation Association; Lincoln Park Zoo; Illinois Native Plant Society//
www.inaturalist.org/projects/city-nature-challenge-2018-cleveland,Cleveland,Ohio,United States of America,Cleveland Museum of Natural History,Lake Erie Allegheny Partnership; University of Mount Union Huston-Brumbaugh Nature Center; Seton Catholic School; Tinkers Creek Watershed Partners; Stark Parks; Western Reserve Land Conservancy; Ohio Wetlands Association; Lorain Metroparks; Cleveland Metroparks Watershed Volunteer Program; Case Western Reserve University; Cuyahoga Valley National Park//
www.inaturalist.org/projects/city-nature-challenge-2018-curitiba,Curitiba,Paraná,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-dallas-fort-worth,Dallas/Fort Worth Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists; Audubon Texas; City of Houston; City of Grapevine; 12 Hills Nature Center; City of Dallas; Blackland Prairie Conservatory and Atelier; City of Arlington; City of Burleson; City of Fort Worth; Houston Audubon; Katy Prairie Conservancy; Native Prairie Association of Texas; Houston Arboretum and Nature Center; City of Austin; Heard Museum; University of North Texas; University of Texas - Dallas; City of Frisco; The Nature Conservancy; Waller Creek Conservancy; Headwaters Sanctuary at Incarnate Word; San Antonio Botanical Garden; Laguna Atascosa National Wildlife Refuge; Edinburg Scenic Wetlands & Birding Center; Quinta Mazatlan World Birding Center; City of Flower Mound; City of Lantana//
www.inaturalist.org/projects/city-nature-challenge-2018-denver-metro-area,Denver Metro Area,Colorado,United States of America,Colorado Parks and Wildlife,The Nature Conservancy; City and County of Denver; Jefferson County; Great Outdoors Colorado (GOCO)//
www.inaturalist.org/projects/city-nature-challenge-2018-twin-ports,Duluth and Surrounding Area (Twin Ports),Minnesota,United States of America,Lake Superior Regional Citizen Science Collaborative (LSRCSC),//
www.inaturalist.org/projects/city-nature-challenge-2018-el-paso,El Paso,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists; Audubon Texas; City of Houston; City of Grapevine; 12 Hills Nature Center; City of Dallas; Blackland Prairie Conservatory and Atelier; City of Arlington; City of Burleson; City of Fort Worth; Houston Audubon; Katy Prairie Conservancy; Native Prairie Association of Texas; Houston Arboretum and Nature Center; City of Austin; Heard Museum; University of North Texas; University of Texas - Dallas; City of Frisco; The Nature Conservancy; Waller Creek Conservancy; Headwaters Sanctuary at Incarnate Word; San Antonio Botanical Garden; Laguna Atascosa National Wildlife Refuge; Edinburg Scenic Wetlands & Birding Center; Quinta Mazatlan World Birding Center; City of Flower Mound; City of Lantana//
www.inaturalist.org/projects/city-nature-challenge-2018-florianopolis,Florianópolis,Santa Catarina,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-cabarrus-county-nc,Greater Concord - Cabarrus County,North Carolina,United States of America,City of Concord and Cabarrus County,NC Wildlife Federation; Cabarrus Soil and Water Conservation District; Concord Wildlife Alliance; Reed Goldmine; Land Trust for Central NC; Cabarrus County Schools//
www.inaturalist.org/projects/city-nature-challenge-2018-guimaraes,Guimaràes,Norte,Portugal,Laboratório da Paisagem / Landscape Laboratory ,Guimaràes City Hall; University of Minho; International Exchange Erasmus Student Network; STOL - Science Throw our Lives; University of Trás-os-Montes e Alto Douro; Associaçào Vimaranense para a Ecologia; Banco Voluntariado de Guimaràes; Curtir Ciência - Centro Ciência Viva de Guimaràes; Junta de Núcleo de Guimaràes - Corpo Nacional de Escutas Guimaràes; PEGADAS program; Public and Private Schools//
www.inaturalist.org/projects/city-nature-challenge-2018-hermosillo,Hermosillo,Sonora,Mexico,Sky Island Alliance,//
www.inaturalist.org/projects/city-nature-challenge-2018-hong-kong,Hong Kong SAR,Hong Kong SAR,China,Tai Tam Tuk Foundation,Ark Eden; ARUP- Bloom Association; Canadian International School; Caritas Chan Chun Ha Field Studies Centre; Civic Exchange; Conservation International HK; Creative Secondary School; EcoBus; Ecology and Biodiversity Society HKUSU- HKU; Island School (ESF); International College Hong Kong; Living Islands Movement; Living Lamma; Lung Fu Shan Environmental Education Centre; Ho Koon Nature Education cum Astronomical Centre; Hong Kong International School; Hong Kong Green Drinks; Hong Kong Golf Club; HK MOTH-ers; Kadoorie Farm & Botanic Garden; Ocean Park; Ocean Park Conservation Foundation Hong Kong; Outdoor Wildlife Learning Hong Kong; Royal Geographical Society Hong Kong; School of Biological Sciences- HKU; Sha Tin College (ESF); South China Diving Club; South Island School (ESF); Swire Institute of Marine Science- HKU; The Nature Conservancy HK; WWF HK//
www.inaturalist.org/projects/city-nature-challenge-2018-houston,Houston Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists; Audubon Texas; City of Houston; City of Grapevine; 12 Hills Nature Center; City of Dallas; Blackland Prairie Conservatory and Atelier; City of Arlington; City of Burleson; City of Fort Worth; Houston Audubon; Katy Prairie Conservancy; Native Prairie Association of Texas; Houston Arboretum and Nature Center; City of Austin; Heard Museum; University of North Texas; University of Texas - Dallas; City of Frisco; The Nature Conservancy; Waller Creek Conservancy; Headwaters Sanctuary at Incarnate Word; San Antonio Botanical Garden; Laguna Atascosa National Wildlife Refuge; Edinburg Scenic Wetlands & Birding Center; Quinta Mazatlan World Birding Center; City of Flower Mound; City of Lantana//
www.inaturalist.org/projects/city-nature-challenge-2018-indianapolis,Indianapolis,Indiana,United States of America,March for Science Indianapolis,Indiana Sciences; Keep Indianapolis Beautiful; Reconnecting to Our Waterways; Kheprw Institute; SustainIndy; Indiana Wildlife Federation//
www.inaturalist.org/projects/klang-valley-city-nature-challenge-2018,Klang Valley/Greater Kuala Lumpur,Selangor,Malaysia,The Rimba Project / Rimba Ilmu Botanic Garden,University of Malaya; Water Warriors; Association of Science- Technology and Innovation (ASTI); Universiti Tunku Abdul Rahman (UTAR); Tunku Abdul Rahman University College (TAR UC); Archdiocesan Office for Human Development (AOHD); Society of Wilderness Malaysia (SoWM); HELP University; Selangor State Government; Environmental Protection Society Malaysia (EPSM); Wildpac Asia; Malaysian Mensa Society; IOI Properties Group Berhad; Kota Damansara Community Forest Society (KDCF); EcoKnights; Stella Maris International School//
www.inaturalist.org/projects/city-nature-challenge-2018-la-plata,La Plata City,Buenos Aires,Argentina,Museo de La Plata- Facultad de Ciencias Naturales y Museo (UNLP) / Facultad de Humanidades y Ciencias de la Educacion-UNLP,Prosecretaria de Politicas Sociales-UNLP; Municipalidad de La Plata; Fundación EcoDesarrollo; Plan Bioeconomia- Provincia de Buenos Aires; Appear Ciencia Ciudadana en Ambientesd Acuaticos; Caza Mosquitos//
www.inaturalist.org/projects/city-nature-challenge-2018-southwest-louisiana,Lake Charles/Southwest Louisiana,Lousiana,United States of America,Southwest Louisiana Master Naturalists,//
www.inaturalist.org/projects/city-nature-challenge-2018-london,London,Greater London,United Kingdom,Natural History Museum- London,University College London (Doing It Together Science project); The Royal Parks; Friends of City Gardens; London National Park City; Greenspace Information for Greater London//
www.inaturalist.org/projects/city-nature-challenge-2018-los-angeles,Los Angeles County,California,United States of America,Natural History Museum of Los Angeles County,Amigos de los Rios; Arroyos & Foothills Conservancy; Audubon Center at Debs Park; Cabrillo Marine Aquarium; California State Parks - Los Angeles State Historic Park; Center for Digital Liberal Arts- Occidental College; City of Los Angeles Sustainability Office; Community Nature Connection; County of Los Angeles Public Library; Diversity Initiative for the Southern California Ocean (DISCO); Friends of the Los Angeles River (FOLAR); Greater Los Angeles County Vector Control District; Grown in L.A.; Heal the Bay; Los Angeles Audubon Society; Los Angeles County Chief Sustainability Office; Los Angeles County Parks & Recreation; Los Angeles Zoo and Botanical Gardens; McDonald's Urban Farm / Amelia & Charlotte McDonald; Mediterranean Coast Network Inventory & Monitoring Program- National Park Service; Resource Conservation District of the Santa Monica Mountains; Studio MLA; UC California Naturalist Program//
www.inaturalist.org/projects/city-nature-challenge-2018-lower-rio-grande-valley,Lower Rio Grande Valley,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists; Audubon Texas; City of Houston; City of Grapevine; 12 Hills Nature Center; City of Dallas; Blackland Prairie Conservatory and Atelier; City of Arlington; City of Burleson; City of Fort Worth; Houston Audubon; Katy Prairie Conservancy; Native Prairie Association of Texas; Houston Arboretum and Nature Center; City of Austin; Heard Museum; University of North Texas; University of Texas - Dallas; City of Frisco; The Nature Conservancy; Waller Creek Conservancy; Headwaters Sanctuary at Incarnate Word; San Antonio Botanical Garden; Laguna Atascosa National Wildlife Refuge; Edinburg Scenic Wetlands & Birding Center; Quinta Mazatlan World Birding Center; City of Flower Mound; City of Lantana//
http://natusfera.gbif.es/projects/biomaraton-madrid-cnc-2018,Madrid Metropolitan Area,Madrid,Spain,GBIF-ES (RJB-CSIC),Real Jardín Botánico de Madrid (RJB-CSIC); Medialab Prado-Ayuntamiento de Madrid; Asociación Naturalista Primilla (ANAPRI); GBIF Spain; Biodiversidad Virtual//
www.inaturalist.org/projects/city-nature-challenge-2018-manaus,Manaus,Amazonas,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-maui,Maui,Hawaii,United States of America,Maui Nui Natural History,Maui Business Brainsormers; Kealia NWR; Maui Invasive Species Committee//
www.inaturalist.org/projects/city-nature-challenge-2018-miami,Miami,Florida,United States of America,Florida International University (SEAS) and Mountain to Sea Education,Biscayne Nature Center; Citizens for a Better South Florida; Education Fund Food Forests for Schools Initiative; Environmental Education Providers; Fairchild Tropical Botanic Garden; Florida Master Naturalist Program; Miami Seaquarium; MAST Academy; Miami-Dade County/Environmentally Endangered Lands Program; Phillip and Patricia Frost Science Museum; Tropical Audubon Society; University of Miami; Vizcaya Museum and Gardens//
www.inaturalist.org/projects/city-nature-challenge-2018-minneapolis-st-paul,Minneapolis/St. Paul,Minnesota,United States of America,University of Minnesota Extension,Belwin Outdoor Science; City of St Paul Natural Resources Department/Parks & Recreation; Climate Generation; Conservation Corps of Minnesota and Iowa; Minneapolis Park Board; Minnesota Department of Natural Resources (Afton State Park- Fort Snelling State Park); Minnesota Naturalist Association; Minnesota Valley National Wildlife Refuge; Minnesota Wildlife Tracking Project; Minnesota Zoo; Mississippi National River & Recreation Area; REI; Three Rivers Parks District; Twin Cities Public Television; US Forest Service; University of Minnesota (Extension- Minnesota Master Naturalist Program- The Bell Museum- The Raptor Center- 4-H Youth Development- Cedar Creek Ecosystem Science Reserve- College of Food- Agriculture & Natural Resources Science- Monarch Lab- Wasp Watchers- Minnesota Bee Atlas); Wilderness Inquiry//
http://www.naturalista.mx/projects/city-nature-challenge-2018-monterrey-zona-metropolitana,Monterrey - Zona Metropolitana,Nuevo León,Mexico,Abeja y Planta,"Naturalista- CONABIO Mexico; Observadores de Aves del Río La Silla; Programa de Aves Urbano (PAU Monterrey); Laboratorio de biología de criptogamas FCB UANL; Departamento de Educación Ambiental Parque Ecológico Chipinque A. B. P.; Mariposas Azules; Salvemos al Río La Silla; Battus; PRONATURA NORESTE, A.C.//"
www.inaturalist.org/projects/mumbai-and-new-mumbai-area,Mumbai,Maharashtra,India,Bombay Natural History Society,//
www.inaturalist.org/projects/city-nature-challenge-2018-nashville,Nashville,Tennessee,United States of America,Cumberland River Compact,Warner Parks Nature Center; Bells Bend Outdoor Center; Nashville Zoo; Adventure Science Center; Metro Parks//
www.inaturalist.org/projects/city-nature-challenge-2018-new-york-city,New York City,New York,United States of America,Macaulay Honors College- CUNY,New York Botanical Garden; Alley Pond Environmental Center; Alliance for Flushing Meadows Corona Park; Bronx River Alliance; Brooklyn Bridge Park Conservancy; Central Park Conservancy; Freshkills Park Alliance; Friends of Forest Park; Friends of the Queensway; Gowanus Canal Conservancy; Greenbelt Nature Center; Jamaica Bay -Rockaway Parks Conservancy; Metropolitan Expeditionary Learning School; NYC Department of Parks & Recreation; Randall's Island Park Alliance; The Trust for Public Land; Urban Park Rangers; Washington Square Park Eco Projects//
www.inaturalist.org/projects/city-nature-challenge-2018-omaha-metro,Omaha Metro,Nebraska,United States of America,Omaha's Henry Doorly Zoo and Aquarium,//
www.inaturalist.org/projects/city-nature-challenge-2018-padova,Padova,Padova,Italy,Department of Land- Environment- Agriculture and Forestry- University of Padova,Boschi Selvatici di Padova; Settore Ambiente e Territorio- Comune di Padova- University of Padova; ADI Padova; Master GIScience; Ordine Dottori Agronomi e Forestali di Padova; WWF Padova: Informambiente; Circolo Wigwam Il Presidio; Associazione Amissi del Piovego; WWF Vicenza-Padova//
www.inaturalist.org/projects/city-nature-challenge-2018-palmer-station-antarctica,Palmer Station- Antarctica,Antarctica,United States of America,"Karen Romano Young "Antarctic Log"""aren Romano Yo",Bigelow Laboratory for Ocean Sciences//
www.inaturalist.org/projects/city-nature-challenge-2018-pittsburgh,Pittsburgh,Pennsylvania,United States of America,Carnegie Museum of Natural History,Allegheny Land Trust; Pittsburgh Parks Conservancy; Western Pennsylvania Conservancy; Audubon Society of Western Pennsylvania; Allegheny Bird Conservation Alliance; National Aviary; Upper St. Clair Citizens for Land Stewardship//
www.inaturalist.org/projects/city-nature-challenge-2018-plymouth-uk,Plymouth,Devon,United Kingdom,The Marine Biological Association,//
www.inaturalist.org/projects/city-nature-challenge-2018-prague,Prague,Prague,Czech Republic,National Museum- Czech Republic,Nature Conservation Agency of the Czech Republic; Biolib - Biological Library; Faculty of Science Charles University; Přírodově dci.cz; Czech Botanical Society; The Czech Bat Conservation Society; Forests of the City of Prague; Station of Scientists (The House of Children and Youth of the Capital City Prague); Ecocentre Touluv Dvur//
www.inaturalist.org/projects/city-nature-challenge-2018-triangle-area,Raleigh (Triangle Area),North Carolina,United States of America,North Carolina Museum of Natural Sciences,//
www.inaturalist.org/projects/city-nature-challenge-2018-richmond,Richmond,Virginia,United States of America,The Nature Conservancy,//
www.inaturalist.org/projects/city-nature-challenge-2018-rio-de-janeiro,Rio de Janeiro,Rio de Janeiro,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-roma,Rome,Rome,Italy,Department of Environmental Biology- Sapienza University of Rome,WWF Italia; Csmon-LIFE Project; Università  degli Studi di Trieste; Direzione Ambiente e Sistemi Naturali- Regione Lazio; Parco Regionale dell'Appia Antica; Accademia Nazionale delle Scienze detta dei XL; Dipartimento di Biologia- Università  di Roma Tre; Società  Romana di Scienze Naturali; Dipartimento di Biologia- Università  di Tor Vergata; European Citizen Science Association; Zètema; Minisetro dell'Ambiente e della Tutela del Territorio e del Mare; Assessorato alla Crescita Culturale di Roma Capitale; WWF Roma e Area Metropolitana//
www.inaturalist.org/projects/city-nature-challenge-2018-salvador,Salvador,Bahia,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-san-antonio,San Antonio Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists; Audubon Texas; City of Houston; City of Grapevine; 12 Hills Nature Center; City of Dallas; Blackland Prairie Conservatory and Atelier; City of Arlington; City of Burleson; City of Fort Worth; Houston Audubon; Katy Prairie Conservancy; Native Prairie Association of Texas; Houston Arboretum and Nature Center; City of Austin; Heard Museum; University of North Texas; University of Texas - Dallas; City of Frisco; The Nature Conservancy; Waller Creek Conservancy; Headwaters Sanctuary at Incarnate Word; San Antonio Botanical Garden; Laguna Atascosa National Wildlife Refuge; Edinburg Scenic Wetlands & Birding Center; Quinta Mazatlan World Birding Center; City of Flower Mound; City of Lantana//
www.inaturalist.org/projects/city-nature-challenge-2018-san-diego-county,San Diego County,California,United States of America,San Diego Natural History Museum,Tijuana Estuary (CA State Parks); Mission Trails Regional Park (SD Regional Parks); San Diego River Park Foundation; San Diego Gas & Electric; San Diego State University Natural History Club; Southwestern College; Anza-Borrego Foundation; Hike San Diego; San Diego Public Library; San Dieguito River Valley; Conservancy San Diego Field Ornithologists; Friends of Rose Canyon; Tecolote Nature Center; Black Mountain Open Space; Earth Discovery Institute; San Diego Chapter of the American Society of Landscape Architects; University of San Diego; Cabrillo National Park; San Diego Audubon; San Dieguito River Valley Conservancy; Friends of Rose Creek; Ocean Sanctuaries; Living Coast Discovery Center; Friends of Mission Bay Marshes//
www.inaturalist.org/projects/city-nature-challenge-2018-san-francisco-bay-area,San Francisco Bay Area,California,United States of America,California Academy of Sciences,East Bay Regional Park District; Marin County Parks; San Mateo County Parks; Sequoia Audubon; California Center for Natural History; Oakland Museum of California; Outdoor Afro; Marin Municipal Water District; One Tam; City of Palo Alto; Presidio Trust; Santa Clara Valley Audubon Society; Keep Coyote Creek Beautiful; California State Parks; Sonoma Ecology Center; California Lichen Society; San Francisco Public Libraries; Bay Nature; California Native Plant Society; Environmental Action Committee of West Marin; Golden Gate National Parks Conservancy//
www.inaturalist.org/projects/city-nature-challenge-2018-sao-paulo,Sào Paulo,São Paulo,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-seattle-metropolitan-area,Seattle Metropolitan Area,Washington,United States of America,Woodland Park Zoo,//
http://natusfera.gbif.es/projects/cnc-2018-sevilla,Sevilla,Andalusia,Spain,Universidad Pablo de Olavide- Sevilla,Estación Biológica Doñana CSIC//
www.inaturalist.org/projects/city-nature-challenge-2018-southern-oregon,Southern Oregon,Oregon,United States of America,Southern Oregon Regional Environmental Education Leaders; Klamath Outdoor Science School; Southern Oregon Land Conservancy,//
www.inaturalist.org/projects/city-nature-challenge-2018-st-louis-mo,St. Louis City & MSA Region,Missouri,United States of America,City of St. Louis and BiodiverseCity St. Louis,Missouri Botanical Garden; Saint Louis Zoo; St. Louis Academy of Sciences; Missouri Department of Conservation//
www.inaturalist.org/projects/city-nature-challenge-2018-the-wasatch,The Wasatch Front (Salt Lake City),Utah,United States of America,Natural History Museum of Utah,Salt Lake City Parks and Public Lands; The Ogden Nature Center; The Nature Conservancy; Thanksgiving Point; Swaner EcoCenter; Salt Lake County Library Services; Utah Master Naturalists; Utah's Hogle Zoo; South Valley School; Hartland Community 4 Youth and Families//
www.inaturalist.org/projects/city-nature-challenge-2018-tokyo,Tokyo,Tokyo,Japan,Tokyo City University / Biodiversity Academy ,"Tokyo Metropolitan Government Bureau of Environment; Setagaya
Ward; The Nature Conservation Society of Japan; WWF Japan; Setagaya Trust and
Community Design; Setagaya Mizubedesign Network//"
www.inaturalist.org/projects/tulsa-city-wide-nature-challenge-2018,Tulsa Region,Oklahoma,United States of America,Tulsa Regional STEM Alliance,Oklahoma Department of Education; Oxley Nature Center; COSTEMA; Tulsa Botanic Gardens; Linnaeus Gardens; Celebrate the Earth Event; Up With Trees; Tulsa Zoo; OK Aquarium//
www.inaturalist.org/projects/city-nature-challenge-2018-vancouver-british-columbia,Vancouver,British Columbia,Canada,Vancouver Board of Parks and Recreation,Environmental Youth Alliance; Bird Studies Canada; Jericho Stewardship Group; Stanley Park Ecology Society; Nature Vancouver//
www.inaturalist.org/projects/city-nature-challenge-2018-washington-dc-metro-area,Washington- D.C. Metro Area,Disctrict of Columbia,United States of America,DC Regional Citizen Science Group,AAAS STPF Crowdsourcing & Citizen Science Affinity Group; Alice Ferguson Foundation; Anacostia Watershed Society; Arlington County; Arlington Regional Master Naturalists; Biophilic DC; Blandy Experimental Farm; City Wildlife; Corazon Latino; Earth Conservation Corps; Four Mile Run Conservatory Foundation; Friends of Runnymede Park; Friends of Sligo Creek; Friends of the Park at Ledroit; Herndon Parks and Recreation; Maryland Department of Natural Resources; Maryland Park Service; Merrimac Farm Virginia Master Naturalists; Rock Creek Conservancy; Shenandoah Master Naturalists; Sky Meadows State Park; Smithsonian Conservation Biology Institute; Smithsonian National Museum of Natural History; The Nature Conservancy; US Forest Service; US Green Building Council; Virginia Master Naturalists//
http://inaturalist.ca/projects/city-nature-challenge-2018-waterloo-region,Waterloo Region,Ontario,Canada,rare Charitable Research Reserve,Waterloo Region Nature; City of Waterloo//
